EIN,NAME,CITY,PRIMARY_BASIS,SECONDARY_BASIS,REASON
462552575,CHARTER FOR CHARITY INC,DALLAS,cash,,"cash, in kind flight hours"
472676714,CROSSROADS COMMUNITY SERVICES INC,DALLAS,cash,,"cash, noncash food distributor"
742762542,FEEDING TEXAS,AUSTIN,cash,closed network,"cash and closed network, commodities to member banks"
241322225,FP ASSISTANCE INC,FORNEY,cash,closed network,"cash and closed network, USDA food pass through"
113720173,GEO-SON CHILD CARE SERVICES INC,MCALLEN,cash,closed network,"cash and closed network, USDA food pass through"
800660756,HYPE FOUNDATION INC,KATY,cash,closed network,"cash and closed network, USDA food pass through"
208734514,NAR INCORPORATED,EDINBURG,cash,closed network,"cash and closed network, USDA food pass through"
455264332,TRUSTED WORLD FOUNDATION INC,GARLAND,cash,,"cash, in kind goods distributor"
752581804,CHILDRENS ADVOCACY CENTERS OF TEXAS INC,AUSTIN,closed network,,"closed network, certified members only"
742681638,COASTAL BEND REGIONAL ADVISORY COUNCIL ON TRAUMA SERVICE AREA U,CORP CHRISTI,closed network,,"closed network, certified trauma members only"
742354575,TEXAS ACCESS TO JUSTICE FOUNDATION,AUSTIN,closed network,,"closed network, legal aid providers only"
742035880,TEXAS ASSOCIATION OF COMMUNITY ACTION AGENCIES INC,AUSTIN,closed network,,"closed network, member agencies only"
752252358,TEXAS CASA INC,AUSTIN,closed network,,"closed network, certified members only"
746074210,CHRISTUS FOUNDATION FOR HEALTHCARE,HOUSTON,discretion,,"discretion, operates own clinics"
452727397,CIRCUIT EVENTS LOCAL ORGANIZING COMMITTEE,DEL VALLE,discretion,,"discretion, event artifact"
871569770,DONATESTOCK CHARITABLE INC,HOUSTON,discretion,,"discretion, stock donation conduit"
814633428,GIRTYS PLACE ANIMAL RESCUE AND SANCTUARY,FARMERSVILLE,discretion,,"discretion, operating animal sanctuary"
311815830,GRACEWOOD INC,ROUND ROCK,discretion,,"discretion, direct service operator"
742615466,LADY LEX MUSEUM ON THE BAY ASSOCIATION,CORP CHRISTI,discretion,,"discretion, operates own museum"
453929881,MERCURY ONE INC,IRVING,discretion,,"discretion, operating charity not grantmaker"
760492399,OMEGA CHARITABLE DEVELOPERS INC,HOUSTON,discretion,,"discretion, conduit shell"
200445492,THE ONESTAR FOUNDATION,AUSTIN,discretion,,"discretion, AmeriCorps administrator"
746047176,BLUE BIRD FOUNDATION,HOUSTON,reachability,,"reachability, closed loop to own affiliate"
752125945,BUCKNER FOUNDATION,DALLAS,reachability,,"reachability, closed loop to own ministry"
742129272,HOUSTON BALLET GUILD INC,HOUSTON,reachability,,"reachability, closed loop to parent ballet"
844633153,IPS ENTERPRISES INC,WESLACO,reachability,,"reachability, operates own charter network"
473786139,LC FUND FOR PRIESTY FORMATION,HOUSTON,reachability,,"reachability, closed loop to own religious order"
752675978,NATIONAL BOY SCOUTS OF AMERICA FOUNDATION,IRVING,reachability,,"reachability, closed loop to Scouting council network"
550907295,NEW GATE TO PEACE FOUNDATION,HOUSTON,reachability,,"reachability, closed loop to affiliated religious network"
742602504,PARKS AND WILDLIFE FOUNDATION OF TEXAS INC,DALLAS,reachability,,"reachability, closed loop to parent state agency"
750945939,SOUTHWESTERN MEDICAL FOUNDATION,DALLAS,reachability,,"reachability, closed loop to own university"
752838956,SWMF PROPERTIES INC,DALLAS,reachability,,"reachability, closed loop to parent foundation"
742245072,TEXAS A&M FOUNDATION,COLLEGE STA,reachability,,"reachability, closed loop to own university"
756043842,TEXAS TECH FOUNDATION INC,LUBBOCK,reachability,,"reachability, closed loop to own university"
421370848,THE LIFESPACE FOUNDATION,COPPELL,reachability,,"reachability, closed loop to parent senior living company"
751324332,TRINITY CHRISTIAN ACADEMY,ADDISON,reachability,cash,"reachability and cash, closed loop to own school"
752080121,TRINITY CHRISTIAN ACADEMY FOUNDATION,ADDISON,reachability,,"reachability, closed loop to own academy"
452931795,DARE 2,DALLAS,transparency,,"transparency, no public identity"
881330756,GREATER HOUSTON COMMUNITY FOUNDATION,HOUSTON,transparency,,"transparency, no surfaced identity"
824819179,USATRANSFORM,SOUTHLAKE,transparency,,"transparency, identity mismatch"
